"Points:0","Points:1","Points:2"
0.25831,0.099429,0
0.28661,0.099403,0
0.31628,0.099055,0
0.34722,0.098377,0
0.37927,0.09737,0
0.41224,0.096043,0
0.44593,0.094415,0
0.48012,0.092513,0
0.51457,0.090371,0
0.54903,0.088028,0
0.58325,0.085528,0
0.617,0.082916,0
0.65004,0.080238,0
0.68216,0.077538,0
0.71318,0.074861,0
0.74294,0.072248,0
0.7713,0.069738,0
0.79818,0.067366,0
0.82349,0.065163,0
0.8472,0.063151,0
0.86932,0.061334,0
0.88989,0.059684,0
0.90903,0.058119,0
0.92693,0.056475,0
0.94385,0.054487,0
0.96011,0.051766,0
0.976,0.047756,0
0.99168,0.04166,0
1.0067,0.032179,0
1.0204,0.017575,0
1.0216,1.2417e-10,0
1.0204,-0.017575,0
1.0254,-0.019754,0
1.0121,-0.036982,0
0.99639,-0.048689,0
0.97976,-0.056513,0
0.96288,-0.061761,0
0.94575,-0.065294,0
0.92815,-0.067727,0
0.90982,-0.069519,0
0.89045,-0.071014,0
0.86979,-0.072456,0
0.84767,-0.073999,0
0.82399,-0.075724,0
0.79871,-0.077658,0
0.77188,-0.079792,0
0.74354,-0.082098,0
0.7138,-0.08454,0
0.68279,-0.087077,0
0.65067,-0.089664,0
0.61763,-0.092256,0
0.58388,-0.094806,0
0.54965,-0.097267,0
0.51517,-0.099592,0
0.4807,-0.10174,0
0.44648,-0.10367,0
0.41275,-0.10534,0
0.37974,-0.10674,0
0.34765,-0.10784,0
0.31666,-0.10863,0
0.28692,-0.10912,0
0.25855,-0.10932,0
0.23165,-0.10924,0
0.20627,-0.1089,0
0.18244,-0.10833,0
0.16015,-0.10755,0
0.13935,-0.10656,0
0.11997,-0.10535,0
0.1019,-0.10388,0
0.085,-0.10209,0
0.069123,-0.099868,0
0.054128,-0.097098,0
0.039899,-0.093641,0
0.026364,-0.089353,0
0.013503,-0.084088,0
0.0013608,-0.077711,0
-0.009953,-0.070105,0
-0.020258,-0.06119,0
-0.029306,-0.050945,0
-0.036795,-0.039439,0
-0.042401,-0.026868,0
-0.045824,-0.01358,0
-0.046953,-2.3227e-10,0
-0.045824,0.01358,0
-0.042401,0.026868,0
-0.036795,0.039439,0
-0.029306,0.050945,0
-0.020258,0.06119,0
-0.009953,0.070105,0
0.0013608,0.077711,0
0.013503,0.084088,0
0.026364,0.089353,0
0.039899,0.093641,0
0.054128,0.097098,0
